Invoice ID,first_name,last_name,address,phone1,phone2,email,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,CITY,STATE
549-59-1358,Alisha,Slusarski,3273 State St,732-658-3154,732-635-3453,alisha@slusarski.com,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,3/2/19,17:36,Ewallet,265.89,4.761904762,13.2945,6,Middlesex,NJ
227-03-5010,Allene,Iturbide,1 Central Ave,715-662-6764,715-530-9863,allene_iturbide@cox.net,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,3/22/19,19:20,Credit card,420.72,4.761904762,21.036,8.5,Stevens Point,WI
649-29-6775,Chanel,Caudy,86 Nw 66th St #8673,913-388-2079,913-899-1103,chanel.caudy@caudy.org,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2/8/19,15:31,Cash,33.52,4.761904762,1.676,6.7,Shawnee,KS
189-17-4241,Ezekiel,Chui,2 Cedar Ave #84,410-669-1642,410-235-8738,ezekiel@chui.com,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,3/10/19,12:17,Credit card,175.34,4.761904762,8.767,7.7,Easton,MD
145-94-9061,Willow,Kusko,90991 Thorburn Ave,212-582-4976,212-934-5167,wkusko@yahoo.com,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,1/25/19,19:48,Cash,441.8,4.761904762,22.09,9.6,New York,NY
848-62-7243,Bernardo,Figeroa,386 9th Ave N,936-336-3951,936-597-3614,bfigeroa@aol.com,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,3/15/19,15:36,Cash,224.01,4.761904762,11.2005,7.4,Conroe,TX
871-79-8483,Ammie,Corrio,74874 Atlantic Ave,614-801-9788,614-648-3265,ammie@corrio.com,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2/25/19,19:39,Credit card,470.65,4.761904762,23.5325,4.8,Columbus,OH
149-71-6266,Francine,Vocelka,366 South Dr,505-977-3911,505-335-5293,francine_vocelka@vocelka.com,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,1/28/19,12:43,Cash,702.63,4.761904762,35.1315,4.5,Las Cruces,NM
640-49-2076,Ernie,Stenseth,45 E Liberty St,201-709-6245,201-387-9093,ernie_stenseth@aol.com,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,1/10/19,14:49,Cash,670.24,4.761904762,33.512,5.1,Ridgefield Park,NJ
595-11-5460,Albina,Glick,4 Ralph Ct,732-924-7882,732-782-6701,albina@glick.com,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,3/15/19,10:12,Credit card,193.16,4.761904762,9.658,5.1,Dunellen,NJ
183-56-6882,Alishia,Sergi,2742 Distribution Way,212-860-1579,212-753-2740,asergi@gmail.com,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2/6/19,10:42,Ewallet,397.68,4.761904762,19.884,7.5,New York,NY
232-16-2483,Solange,Shinko,426 Wolf St,504-979-9175,504-265-8174,solange@shinko.com,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,1/7/19,12:28,Ewallet,68.12,4.761904762,3.406,6.8,Metairie,LA
129-29-8530,Jose,Stockham,128 Bransten Rd,212-675-8570,212-569-4233,jose@yahoo.com,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,3/10/19,19:15,Ewallet,313.1,4.761904762,15.655,7,New York,NY
272-65-1806,Rozella,Ostrosky,17 Morena Blvd,805-832-6163,805-609-1531,rozella.ostrosky@ostrosky.com,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,1/15/19,17:17,Ewallet,547.92,4.761904762,27.396,4.7,Camarillo,CA
333-73-7901,Valentine,Gillian,775 W 17th St,210-812-9597,210-300-6244,valentine_gillian@gmail.com,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,3/23/19,13:24,Ewallet,439.36,4.761904762,21.968,7.6,San Antonio,TX
777-82-7220,Kati,Rulapaugh,6980 Dorsett Rd,785-463-7829,785-219-7724,kati.rulapaugh@hotmail.com,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,3/3/19,13:01,Cash,240.96,4.761904762,12.048,7.7,Abilene,KS
280-35-5823,Youlanda,Schemmer,2881 Lewis Rd,541-548-8197,541-993-2611,youlanda@aol.com,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,1/17/19,18:45,Ewallet,86.72,4.761904762,4.336,7.9,Prineville,OR
554-53-8700,Dyan,Oldroyd,7219 Woodfield Rd,913-413-4604,913-645-8918,doldroyd@aol.com,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2/2/19,10:11,Cash,112.22,4.761904762,5.611,6.3,Overland Park,KS
354-25-5821,Roxane,Campain,1048 Main St,907-231-4722,907-335-6568,roxane@hotmail.com,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2/8/19,13:03,Cash,414.72,4.761904762,20.736,5.6,Fairbanks,AK
228-96-1411,Lavera,Perin,678 3rd Ave,305-606-7291,305-995-2078,lperin@perin.org,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,3/4/19,20:39,Cash,789.6,4.761904762,39.48,7.6,Miami,FL
617-15-4209,Erick,Ferencz,20 S Babcock St,907-741-1044,907-227-6777,erick.ferencz@aol.com,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,3/16/19,19:47,Cash,30.74,4.761904762,1.537,7.2,Fairbanks,AK
132-32-9879,Fatima,Saylors,2 Lighthouse Ave,952-768-2416,952-479-2375,fsaylors@saylors.org,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,3/9/19,18:00,Cash,375.84,4.761904762,18.792,9.5,Hopkins,MN
370-41-7321,Jina,Briddick,38938 Park Blvd,617-399-5124,617-997-5771,jina_briddick@briddick.com,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2/27/19,17:24,Credit card,510.21,4.761904762,25.5105,8.4,Boston,MA
727-46-3608,Kanisha,Waycott,5 Tomahawk Dr,323-453-2780,323-315-7314,kanisha_waycott@yahoo.com,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2/6/19,15:47,Ewallet,180.09,4.761904762,9.0045,4.1,Los Angeles,CA
669-54-1719,Emerson,Bowley,762 S Main St,608-336-7444,608-658-7940,emerson.bowley@bowley.org,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2/10/19,12:45,Credit card,113.58,4.761904762,5.679,8.1,Madison,WI
574-22-5561,Blair,Malet,209 Decker Dr,215-907-9111,215-794-4519,bmalet@yahoo.com,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,3/19/19,17:08,Ewallet,826.3,4.761904762,41.315,7.9,Philadelphia,PA
326-78-5178,Brock,Bolognia,4486 W O St #1,212-402-9216,212-617-5063,bbolognia@yahoo.com,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2/3/19,10:19,Cash,639.8,4.761904762,31.99,9.5,New York,NY
162-48-8011,Lorrie,Nestle,39 S 7th St,931-875-6644,931-303-6041,lnestle@hotmail.com,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2/10/19,15:10,Cash,222.95,4.761904762,11.1475,8.5,Tullahoma,TN
616-24-2851,Sabra,Uyetake,98839 Hawthorne Blvd #6101,803-925-5213,803-681-3678,sabra@uyetake.org,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,3/22/19,14:42,Ewallet,71.48,4.761904762,3.574,6.5,Columbia,SC
778-71-5554,Marjory,Mastella,71 San Mateo Ave,610-814-5533,610-379-7125,mmastella@mastella.com,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,1/25/19,15:46,Credit card,15.43,4.761904762,0.7715,6.1,Wayne,PA
242-55-6721,Karl,Klonowski,76 Brooks St #9,908-877-6135,908-470-4661,karl_klonowski@yahoo.com,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,3/7/19,11:49,Ewallet,32.32,4.761904762,1.616,6.5,Flemington,NJ
399-46-5918,Tonette,Wenner,4545 Courthouse Rd,516-968-6051,516-333-4861,twenner@aol.com,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2/28/19,19:01,Cash,687.84,4.761904762,34.392,8.2,Westbury,NY
106-35-6779,Amber,Monarrez,14288 Foster Ave #4121,215-934-8655,215-329-6386,amber_monarrez@monarrez.org,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,3/27/19,11:26,Cash,88.68,4.761904762,4.434,5.8,Jenkintown,PA
635-40-6220,Shenika,Seewald,4 Otis St,818-423-4007,818-749-8650,shenika@gmail.com,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2/7/19,11:28,Ewallet,716.8,4.761904762,35.84,6.6,Van Nuys,CA
817-48-8732,Delmy,Ahle,65895 S 16th St,401-458-2547,401-559-8961,delmy.ahle@hotmail.com,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,1/20/19,15:55,Cash,723.5,4.761904762,36.175,5.4,Providence,RI
120-06-4233,Deeanna,Juhas,14302 Pennsylvania Ave,215-211-9589,215-417-9563,deeanna_juhas@gmail.com,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,3/12/19,20:36,Cash,183.66,4.761904762,9.183,9.3,Huntingdon Valley,PA
285-68-5083,Blondell,Pugh,201 Hawk Ct,401-960-8259,401-300-8122,bpugh@aol.com,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2/15/19,17:47,Credit card,74.22,4.761904762,3.711,10,Providence,RI
803-83-5989,Jamal,Vanausdal,53075 Sw 152nd Ter #615,732-234-1546,732-904-2931,jamal@vanausdal.org,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2/24/19,10:55,Ewallet,334.38,4.761904762,16.719,7,Monroe Township,NJ
347-34-2234,Cecily,Hollack,59 N Groesbeck Hwy,512-486-3817,512-861-3814,cecily@hollack.org,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2/3/19,13:40,Ewallet,495.63,4.761904762,24.7815,10,Austin,TX
199-75-8169,Carmelina,Lindall,2664 Lewis Rd,303-724-7371,303-874-5160,carmelina_lindall@lindall.com,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,3/6/19,12:27,Credit card,158.1,4.761904762,7.905,8.6,Littleton,CO
853-23-2453,Maurine,Yglesias,59 Shady Ln #53,414-748-1374,414-573-7719,maurine_yglesias@yglesias.com,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2/14/19,14:35,Cash,302.96,4.761904762,15.148,7.6,Milwaukee,WI
877-22-3308,Tawna,Buvens,3305 Nabell Ave #679,212-674-9610,212-462-9157,tawna@gmail.com,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,3/13/19,16:40,Cash,158.7,4.761904762,7.935,5.8,New York,NY
838-78-4295,Penney,Weight,18 Fountain St,907-797-9628,907-873-2882,penney_weight@aol.com,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2/10/19,15:43,Ewallet,66.94,4.761904762,3.347,6.7,Anchorage,AK
109-28-2512,Elly,Morocco,7 W 32nd St,814-393-5571,814-420-3553,elly_morocco@gmail.com,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,1/7/19,15:01,Ewallet,585.66,4.761904762,29.283,9.9,Erie,PA
232-11-3025,Ilene,Eroman,2853 S Central Expy,410-914-9018,410-937-4543,ilene.eroman@hotmail.com,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,1/24/19,10:04,Cash,787.7,4.761904762,39.385,6.4,Glen Burnie,MD
382-03-4532,Vallie,Mondella,74 W College St,208-862-5339,208-737-8439,vmondella@mondella.com,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2/2/19,18:50,Cash,18.33,4.761904762,0.9165,4.3,Boise,ID
393-65-2792,Kallie,Blackwood,701 S Harrison Rd,415-315-2761,415-604-7609,kallie.blackwood@gmail.com,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,1/6/19,12:46,Credit card,894.8,4.761904762,44.74,9.6,San Francisco,CA
796-12-2025,Johnetta,Abdallah,1088 Pinehurst St,919-225-9345,919-715-3791,johnetta_abdallah@aol.com,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2/11/19,16:19,Cash,621.2,4.761904762,31.06,5.9,Chapel Hill,NC
510-95-6347,Bobbye,Rhym,30 W 80th St #1995,650-528-5783,650-811-9032,brhym@rhym.com,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,3/5/19,18:17,Ewallet,145.56,4.761904762,7.278,4,San Carlos,CA
841-35-6630,Micaela,Rhymes,20932 Hedley St,925-647-3298,925-522-7798,micaela_rhymes@gmail.com,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,3/9/19,18:21,Cash,455.46,4.761904762,22.773,8.7,Concord,CA
287-21-9091,Tamar,Hoogland,2737 Pistorio Rd #9230,740-343-8575,740-526-5410,tamar@hotmail.com,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/19,10:55,Ewallet,672.03,4.761904762,33.6015,9.4,London,OH
732-94-0499,Moon,Parlato,74989 Brandon St,585-866-8313,585-498-4278,moon@yahoo.com,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,1/13/19,17:04,Credit card,416.5,4.761904762,20.825,5.4,Wellsville,NY
263-10-3913,Laurel,Reitler,6 Kains Ave,410-520-4832,410-957-6903,laurel_reitler@reitler.com,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,1/9/19,14:20,Credit card,441.36,4.761904762,22.068,8.6,Baltimore,MD
381-20-0914,Delisa,Crupi,47565 W Grand Ave,973-354-2040,973-847-9611,delisa.crupi@crupi.com,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,1/12/19,15:48,Credit card,180.09,4.761904762,9.0045,5.7,Newark,NJ
829-49-1914,Viva,Toelkes,4284 Dorigo Ln,773-446-5569,773-352-3437,viva.toelkes@gmail.com,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,3/5/19,16:24,Ewallet,783.1,4.761904762,39.155,6.6,Chicago,IL
756-01-7507,Elza,Lipke,6794 Lake Dr E,973-927-3447,973-796-3667,elza@yahoo.com,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,1/22/19,18:56,Cash,101.9,4.761904762,5.095,6,Newark,NJ
870-72-4431,Devorah,Chickering,31 Douglas Blvd #950,505-975-8559,505-950-1763,devorah@hotmail.com,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,1/21/19,14:42,Credit card,595.14,4.761904762,29.757,5.5,Clovis,NM
847-38-7188,Timothy,Mulqueen,44 W 4th St,718-332-6527,718-654-7063,timothy_mulqueen@mulqueen.org,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,1/26/19,19:56,Ewallet,290.04,4.761904762,14.502,6.4,Staten Island,NY
480-63-2856,Arlette,Honeywell,11279 Loytan St,904-775-4480,904-514-9918,ahoneywell@honeywell.com,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,1/23/19,18:37,Ewallet,154,4.761904762,7.7,6.6,Jacksonville,FL
787-56-0757,Dominque,Dickerson,69 Marquette Ave,510-993-3758,510-901-7640,dominque.dickerson@dickerson.org,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2/23/19,18:45,Credit card,321.44,4.761904762,16.072,8.3,Hayward,CA
360-39-5055,Lettie,Isenhower,70 W Main St,216-657-7668,216-733-8494,lettie_isenhower@yahoo.com,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,3/9/19,10:17,Cash,244.55,4.761904762,12.2275,6.6,Beachwood,OH
730-50-9884,Myra,Munns,461 Prospect Pl #316,817-914-7518,817-451-3518,mmunns@cox.net,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,3/5/19,14:31,Ewallet,581.42,4.761904762,29.071,4,Euless,TX
362-58-8315,Stephaine,Barfield,47154 Whipple Ave Nw,310-774-7643,310-968-1219,stephaine@barfield.com,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,3/25/19,10:23,Cash,382.6,4.761904762,19.13,9.9,Gardena,CA
633-44-8566,Lai,Gato,37 Alabama Ave,847-728-7286,847-957-4614,lai.gato@gato.org,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,3/27/19,20:35,Credit card,345.66,4.761904762,17.283,7.3,Evanston,IL
504-35-8843,Stephen,Emigh,3777 E Richmond St #900,330-537-5358,330-700-2312,stephen_emigh@hotmail.com,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,1/2/19,16:57,Cash,42.47,4.761904762,2.1235,5.7,Akron,OH
318-68-5053,Tyra,Shields,3 Fort Worth Ave,215-255-1641,215-228-8264,tshields@gmail.com,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2/27/19,17:55,Cash,461.94,4.761904762,23.097,6.1,Philadelphia,PA
565-80-5980,Tammara,Wardrip,4800 Black Horse Pike,650-803-1936,650-216-5075,twardrip@cox.net,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,1/23/19,10:25,Cash,189.52,4.761904762,9.476,7.1,Burlingame,CA
225-32-0908,Cory,Gibes,83649 W Belmont Ave,626-572-1096,626-696-2777,cory.gibes@gmail.com,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/19,19:54,Ewallet,448.6,4.761904762,22.43,8.2,San Gabriel,CA
873-51-0671,Danica,Bruschke,840 15th Ave,254-782-8569,254-205-1422,danica_bruschke@gmail.com,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,1/10/19,16:42,Ewallet,153.86,4.761904762,7.693,5.1,Waco,TX
152-08-9985,Wilda,Giguere,1747 Calle Amanecer #2,907-870-5536,907-914-9482,wilda@cox.net,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,3/12/19,12:09,Credit card,579.24,4.761904762,28.962,8.6,Anchorage,AK
512-91-0811,Elvera,Benimadho,99385 Charity St #840,408-703-8505,408-440-8447,elvera.benimadho@cox.net,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2/6/19,20:05,Credit card,89.75,4.761904762,4.4875,6.6,San Jose,CA
594-34-4444,Carma,Vanheusen,68556 Central Hwy,510-503-7169,510-452-4835,carma@cox.net,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,3/8/19,20:38,Ewallet,97.16,4.761904762,4.858,7.2,San Leandro,CA
766-85-7061,Malinda,Hochard,55 Riverside Ave,317-722-5066,317-472-2412,malinda.hochard@yahoo.com,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,3/29/19,10:25,Ewallet,878.7,4.761904762,43.935,5.1,Indianapolis,IN
871-39-9221,Natalie,Fern,7140 University Ave,307-704-8713,307-279-3793,natalie.fern@hotmail.com,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2/9/19,13:11,Cash,74.7,4.761904762,3.735,4.1,Rock Springs,WY
865-92-6136,Lisha,Centini,64 5th Ave #1153,703-235-3937,703-475-7568,lisha@centini.org,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,3/23/19,10:16,Ewallet,158.25,4.761904762,7.9125,9.3,Mc Lean,VA
733-01-9107,Arlene,Klusman,3 Secor Rd,504-710-5840,504-946-1807,arlene_klusman@gmail.com,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,3/5/19,18:14,Cash,496.2,4.761904762,24.81,7.4,New Orleans,LA
163-56-7055,Alease,Buemi,4 Webbs Chapel Rd,303-301-4946,303-521-9860,alease@buemi.com,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,3/26/19,19:20,Cash,48.71,4.761904762,2.4355,4.1,Boulder,CO
189-98-2939,Louisa,Cronauer,524 Louisiana Ave Nw,510-828-7047,510-472-7758,louisa@cronauer.com,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,3/1/19,13:22,Cash,706.95,4.761904762,35.3475,7.2,San Leandro,CA
551-21-3069,Angella,Cetta,185 Blackstone Bldge,808-892-7943,808-475-2310,angella.cetta@hotmail.com,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2/1/19,11:27,Cash,207.63,4.761904762,10.3815,4.9,Honolulu,HI
212-62-1842,Cyndy,Goldammer,170 Wyoming Ave,952-334-9408,952-938-9457,cgoldammer@cox.net,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,3/28/19,16:44,Cash,349.56,4.761904762,17.478,9.9,Burnsville,MN
